time,N,numThreads,queens
0.01021,8,34,"[0, 4, 7, 5, 2, 6, 1, 3]"
0.00534,8,35,"[3, 5, 0, 4, 1, 7, 2, 6]"
0.01358,8,36,"[3, 1, 6, 2, 5, 7, 4, 0]"
0.00271,8,37,"[3, 6, 0, 7, 4, 1, 5, 2]"
0.00279,8,38,"[6, 1, 5, 2, 0, 3, 7, 4]"
0.00637,8,39,"[1, 3, 5, 7, 2, 0, 6, 4]"
0.00434,8,40,"[6, 1, 5, 2, 0, 3, 7, 4]"
0.00496,9,31,"[6, 2, 5, 7, 0, 3, 8, 4, 1]"
0.00979,9,32,"[5, 8, 4, 7, 0, 2, 6, 1, 3]"
0.00425,9,33,"[3, 1, 8, 2, 5, 7, 0, 4, 6]"
0.02394,9,34,"[4, 2, 5, 8, 6, 0, 3, 1, 7]"
0.01106,9,35,"[4, 2, 5, 8, 1, 7, 0, 3, 6]"
0.0263,9,36,"[4, 1, 5, 0, 2, 6, 8, 3, 7]"
0.01188,9,37,"[2, 6, 1, 7, 5, 3, 0, 4, 8]"
0.03984,9,38,"[3, 1, 6, 2, 0, 7, 4, 8, 5]"
0.0358,9,39,"[4, 6, 1, 3, 7, 0, 8, 5, 2]"
0.01169,9,40,"[3, 1, 8, 2, 5, 7, 0, 4, 6]"
0.2311,10,31,"[5, 9, 2, 0, 7, 4, 1, 8, 6, 3]"
0.00881,10,32,"[2, 5, 8, 6, 3, 0, 7, 1, 4, 9]"
0.08391,10,33,"[9, 5, 2, 0, 7, 3, 8, 6, 4, 1]"
0.00711,10,34,"[3, 5, 8, 2, 9, 6, 1, 7, 4, 0]"
0.13561,10,35,"[4, 7, 3, 0, 2, 8, 6, 9, 1, 5]"
0.23619,10,36,"[3, 0, 6, 9, 5, 1, 8, 4, 2, 7]"
0.0232,10,37,"[6, 2, 9, 5, 1, 8, 4, 0, 7, 3]"
0.04564,10,38,"[2, 9, 3, 6, 8, 1, 5, 7, 0, 4]"
0.00399,10,39,"[0, 7, 3, 6, 8, 1, 5, 9, 2, 4]"
0.01228,10,40,"[6, 2, 7, 5, 1, 8, 4, 0, 3, 9]"
0.43898,11,31,"[4, 9, 5, 2, 10, 1, 6, 8, 0, 7, 3]"
0.12873,11,32,"[0, 6, 1, 7, 10, 8, 3, 9, 4, 2, 5]"
0.20029,11,33,"[8, 4, 1, 3, 9, 6, 10, 5, 2, 0, 7]"
0.13392,11,34,"[10, 3, 1, 4, 8, 0, 9, 7, 5, 2, 6]"
0.05201,11,35,"[7, 4, 10, 0, 5, 9, 2, 6, 3, 1, 8]"
0.04241,11,36,"[6, 3, 10, 8, 1, 4, 2, 0, 9, 7, 5]"
0.22496,11,37,"[6, 9, 1, 4, 0, 7, 3, 10, 8, 2, 5]"
0.18352,11,38,"[5, 10, 4, 6, 0, 9, 1, 8, 2, 7, 3]"
0.05407,11,39,"[7, 0, 4, 8, 10, 3, 9, 2, 5, 1, 6]"
0.00845,11,40,"[9, 5, 3, 8, 10, 2, 6, 1, 7, 4, 0]"
0.07646,12,31,"[6, 3, 9, 7, 1, 4, 11, 8, 0, 5, 10, 2]"
0.05476,12,32,"[5, 9, 0, 6, 11, 2, 7, 1, 4, 8, 10, 3]"
0.09705,12,33,"[10, 5, 1, 4, 0, 7, 11, 2, 8, 6, 3, 9]"
0.04435,12,34,"[1, 6, 9, 2, 4, 11, 8, 10, 5, 3, 0, 7]"
0.47596,12,35,"[9, 7, 4, 2, 11, 5, 10, 0, 6, 3, 1, 8]"
0.28956,12,36,"[6, 0, 9, 5, 1, 10, 4, 2, 8, 3, 11, 7]"
0.07469,12,37,"[3, 1, 10, 7, 11, 6, 2, 0, 5, 8, 4, 9]"
0.02033,12,38,"[3, 11, 2, 8, 5, 9, 1, 6, 10, 7, 0, 4]"
0.13435,12,39,"[2, 6, 8, 10, 5, 0, 9, 11, 4, 7, 1, 3]"
0.16256,12,40,"[7, 11, 4, 1, 9, 5, 3, 8, 0, 2, 6, 10]"
0.05835,13,31,"[6, 12, 9, 7, 1, 3, 11, 8, 4, 0, 10, 5, 2]"
0.0295,13,32,"[12, 3, 8, 2, 4, 9, 7, 0, 11, 6, 1, 5, 10]"
0.10397,13,33,"[10, 1, 9, 4, 8, 3, 0, 2, 11, 6, 12, 7, 5]"
0.30726,13,34,"[8, 10, 2, 4, 9, 12, 0, 5, 1, 11, 6, 3, 7]"
0.18601,13,35,"[5, 10, 6, 1, 11, 7, 3, 0, 2, 4, 9, 12, 8]"
